,Date,Nom de l'activité,Description
63,26 Juil 2022,Stretching,"Tous les mardis et jeudis, du 5 juillet au 25 août 2022 Gymnastique douce basée sur des étirements des fibres musculaires. * En cas de pluie la séance se déroulera au gymnase."
64,26 Juil 2022,Découverte du Tir à l’arc,
65,26 Juil 2022,Cours de Skimboard,Initiation sur la plage au bord de l’eau.
66,26 Juil 2022,Atelier Kokeshi et ninja,Inscription obligatoire.
67,27 Juil 2022/29 Juil 2022,Les ateliers d’Isa,Ateliers de pratiques artistiques : aquarelle ou acrylique accessibles aux enfants et aux adultes.
68,27 Juil 2022,Tous au city,Sports en équipes. Inscriptions sur place
69,28 Juil 2022,Stretching,"Tous les mardis et jeudis, du 5 juillet au 25 août 2022 Gymnastique douce basée sur des étirements des fibres musculaires. * En cas de pluie la séance se déroulera au gymnase."
70,28 Juil 2022,Découverte du Tir à l’arc,
71,28 Juil 2022,Cours de Skimboard,Initiation sur la plage au bord de l’eau.
72,29 Juil 2022,Concours de pétanque,Ouvert à tous. 10€ par doublette
73,29 Juil 2022,Cours de Skimboard,Initiation sur la plage au bord de l’eau.
74,30 Juil 2022,Sortie d’initiation à la pêche à pied,Pêche aux palourdes.
75,30 Juil 2022,Biodiversité de estran,"Venez découvrir les petites bêtes qui peuplent l estran et vous immerger dans un monde qu’on ne soupçonne pas sur le littoral manchois. Poissons, coquillages, crustacés ont réussi à ..."
76,30 Juil 2022,ENDURODINGO,Course nocturne avec obstacles naturels et gonflables.
77,30 Juil 2022/31 Juil 2022,Les Folles Girouettes," Sport, musique, spectacle."
78,30 Juil 2022/02 Août 2022,Balade d’Anton,"Depuis la station balnéaire d’Agon-Coutainville, cale du Passous (Point de ralliement et de départ de la promenade), la Balade d’Anton vous propose une sortie commentée d’1h45 sur ..."
79,31 Juil 2022,Marché d’Antiquités-Brocante,Marché mensuel. Dimanche 31 juillet 2022. ABA
80,01 Août 2022,Tournoi d’échecs,Tournoi : 14h30-16h30. À partir de 7 ans. Inscriptions sur place
81,01 Août 2022/05 Août 2022,Réveil musculaire,"Du 4 juillet au 26 août, du lundi au vendredi. Gymnastique et détente musculaire. Accessible à tous niveaux. Pensez à prendre quelques affaires : Short/jogging Tapis de gym/serviette Gourde/ ..."
82,01 Août 2022,Cours de Skimboard,Initiation sur la plage au bord de l’eau.
83,02 Août 2022,Concours de châteaux de sable,Plusieurs catégories représentées ! À partir de 4 ans. Inscriptions sur place.
84,02 Août 2022,Stretching,"Tous les mardis et jeudis, du 5 juillet au 25 août 2022 Gymnastique douce basée sur des étirements des fibres musculaires. * En cas de pluie la séance se déroulera au gymnase."
85,02 Août 2022,Découverte du Tir à l’arc,
86,02 Août 2022,Soirée jeux vidéo rétro gaming,Dès 6 ans Nombre de places limité
87,03 Août 2022/05 Août 2022,Les ateliers d’Isa,Ateliers de pratiques artistiques : aquarelle ou acrylique accessibles aux enfants et aux adultes.
88,03 Août 2022,Cours de Skimboard,Initiation sur la plage au bord de l’eau.
89,04 Août 2022,Quels effets du changement climatique sur la biodiversité marine en Normandie?,Conférence animée par Jean Claude Dauvin de l’Université de Caen.
90,04 Août 2022,Animation culinaire et dégustation,avec François Eustace Champion de France 45es WorldSkills Competition Finales Nationales Normandie 2018 Médaille d’Excellence aux EuroSkills Budapest 2018
91,04 Août 2022,Stretching,"Tous les mardis et jeudis, du 5 juillet au 25 août 2022 Gymnastique douce basée sur des étirements des fibres musculaires. * En cas de pluie la séance se déroulera au gymnase."
92,04 Août 2022,Découverte du Tir à l’arc,
93,04 Août 2022,Cours de Skimboard,Initiation sur la plage au bord de l’eau.
94,05 Août 2022,Courses hippiques,
95,05 Août 2022,Lectures « L’Amitié avec un grand A »,Dès 4 ans
96,06 Août 2022,"Rouquine, Joseph Kamel et Issara en concert","Retrouvez en concert : Rouquine, Joseph Kamel, Issara"
97,07 Août 2022,Vide grenier,Déballage réservé aux particulier.
98,07 Août 2022,Vide-grenier,Déballage vide grenier réservé aux particulier vente de divers objets.
99,07 Août 2022,Le Battle,Marion Motin vous donne rendez-vous pour cette deuxième édition du BATTLE DE DANSE !
